"CelebrityID1","CelebrityID2","CelebrityID3","CelebrityID4","CelebrityID5","CelebrityID6","CelebrityID7","CelebrityID8","CelebrityID9","CelebrityID10","CelebrityID11","CelebrityID12","CelebrityID13","CelebrityID14","CelebrityID15","CelebrityID16","CelebrityID17","CelebrityID18","CelebrityID19","CelebrityID20","Did.You.Recognize1","Did.You.Recognize2","Did.You.Recognize3","Did.You.Recognize4","Did.You.Recognize5","Did.You.Recognize6","Did.You.Recognize7","Did.You.Recognize8","Did.You.Recognize9","Did.You.Recognize10","Did.You.Recognize11","Did.You.Recognize12","Did.You.Recognize13","Did.You.Recognize14","Did.You.Recognize15","Did.You.Recognize16","Did.You.Recognize17","Did.You.Recognize18","Did.You.Recognize19","Did.You.Recognize20"
"2274234","43568","3414021","16477368","38459","19376148","24518","147873","5040937","25571585","14670286","4764846","17782843","20218","93560","34350","20913246","154695","2629332","1563002","1","2","2","2","2","2","1","4","1","2","2","2","2","1","2","2","2","2","3","2"
"2964059","1235335","11217925","26531073","274539","102685","2150841","303225","2941511","6824","331124","643710","416641","165507","4429395","6803715","7412236","6844407","18120823","39942","1","1","4","1","4","4","2","1","1","1","1","1","1","2","2","2","2","2","3","2"
"14995351","2110323","12684530","4637590","71870","20395872","27848","37313","159473","756433","319659","7412236","23805","215566","9287211","215554","26941","274539","33209238","739547","2","2","2","4","2","2","1","4","1","2","2","2","4","2","2","2","1","2","2","1"
"71870","23300","19043935","5655","147368","203407","3382","70938","4539602","14995351","7412236","24041298","62666","178826","162870","20110751","3741746","31460","17782843","4429395","2","4","3","1","1","2","2","1","4","2","2","2","4","1","2","1","2","2","2","2"
"44849","8135890","252130","623737","650426","5792809","23680998","147311","39660","1003976","146167","365175","147367","335017","14995351","936829","72671","589725","534366","926934","4","2","1","2","1","4","2","1","4","1","1","1","1","1","1","1","3","1","2","1"
"27834683","154099","23680998","1091334","741705","83688","167595","102096","665823","3356","13199916","60143","31341","30519","6967012","2150841","7698038","153295","14670286","1434568","1","1","2","1","4","2","1","1","1","4","4","1","1","1","1","3","1","2","1","4"
"19394613","276433","171528","44849","4429395","244910","2265561","149243","203421","1221476","2687269","23680998","48422","274539","5792809","211518","276341","166959","345792","8239846","2","1","1","3","2","4","2","2","4","4","1","2","1","3","2","1","1","4","1","2"
"144936","1353497","379216","20913246","274539","2575","214233","20762","14995351","616622","149690","3382","162870","12300","52707","278119","26954","153557","2110323","24095","1","1","1","1","1","1","1","1","2","1","1","4","4","1","4","1","1","1","2","3"
"534366","274539","25763370","415175","170977","262376","109275","72671","20796","27717","5132","599745","69930","166777","203407","16228","30029","217790","14995351","330395","2","3","1","2","4","2","1","2","1","1","1","2","1","1","1","1","1","1","2","1"
"623737","19672919","3830432","34016927","507433","25695","900572","3747","223253","276392","2110323","965935","9288","12520860","16705483","64965","154183","14995351","3092","1806","2","1","4","1","2","4","1","2","4","1","2","1","2","2","4","1","1","2","4","2"
"19394613","8239846","71870","26940","150091","1353497","1020882","2629332","6844407","2546319","42621","46165","2190438","11983070","53029","154228","6162301","20455","23680998","3747","4","1","4","1","1","1","2","2","3","1","4","1","4","4","1","1","1","1","2","2"
"154698","180487","12520860","93560","2073557","871281","52724","71870","1532027","210318","19831","2162222","199445","163272","2844938","165567","939583","1672146","79505","149243","2","4","2","2","1","4","1","2","4","1","4","4","4","1","2","4","2","2","4","2"
"12153654","557007","518988","916099","3830432","4408","154247","64673","68378","5013777","11983273","4429395","316201","427018","650426","372898","14995351","8490390","16707","83688","2","4","4","1","1","1","1","1","1","1","1","4","1","1","1","1","2","1","1","2"
"37313","2110323","2150841","25695","507433","728776","78747","8099","27005455","19043935","38301","14995351","23005","39027","62666","400738","159547","7412236","39660","10049","1","2","2","2","1","1","1","1","2","1","2","2","1","2","1","4","1","2","1","1"
"37313","1806","168335","345792","2397","19084502","50960","158889","4987149","16477368","102690","21004811","2095762","156126","402850","604244","168540","80646","20455","88923","4","2","1","1","4","4","1","4","1","2","4","1","4","1","1","4","4","1","4","4"
"534366","399703","16705483","551643","14995351","1817766","23680998","19903","2647835","28753159","16175","147311","15852","240940","5422144","16707","19376148","17782843","20396","104743","2","1","2","1","2","2","2","1","4","2","2","1","2","2","2","4","2","2","4","1"
"23680998","4429395","11983273","5422144","14995351","1982061","39879","494770","18958666","8135890","7412236","165567","16477368","12153654","728776","15967","3747","749247","551643","220160","2","2","1","2","2","2","1","1","1","2","2","1","2","2","2","1","2","1","1","2"
"4429395","17443","18617682","61404","24041298","4629012","27611","53536","27717","303892","3414021","704723","2190438","4148655","274539","26182584","89265","17450","3741746","150996","2","1","1","1","2","1","1","1","4","2","2","4","2","4","2","1","1","1","3","1"
"2150841","171528","24424228","22570683","303951","93560","481634","19661665","595","90095","65145","352699","14995351","468318","400595","79505","2095536","5792809","564099","8485","4","1","1","4","1","1","1","1","1","4","4","2","2","1","1","1","1","1","1","1"
