"en_curid","outcome","name","TotalPageViews","participant"
"17837763","NR","Shinji Kagawa",10060397,23
"18617829","TT","Jack Nicholson",24238521,23
"198606","NR","Malcolm McDowell",8440809,23
"231156","TT","Richard Pryor",8859223,23
"23243880","RNN","Lance Armstrong",17834452,23
"25169","C","Quentin Tarantino",41489929,23
"25832","NR","Ringo Starr",19978182,23
"27611","TT","Sarah Michelle Gellar",18689044,23
"32817","C","Vladimir Putin",23717139,23
"403293","NR","Chris Benoit",11268785,23
"4601","C","Björn Borg",5587647,23
"595","C","Andre Agassi",11244030,23
"61404","C","Sylvester Stallone",43805205,23
"8135890","NR","Miley Cyrus",91947733,23
"899033","NR","Armin van Buuren",7236937,23
"9288","C","Elvis Presley",55896331,23
"980836","NR","Andrew Murray",10583147,23
"145532","NR","Mike Shinoda",7642056,25
"149243","C","Emma Watson",46840359,25
"149690","NR","Robin Gibb",6405185,25
"164120","C","Ethan Hawke",10854797,25
"17782843","C","Lady Gaga",104562647,25
"240390","NR","Fernando Alonso",8891161,25
"240940","C","LeBron James",30950673,25
"409842","NR","Jayne Mansfield",8682946,25
"416641","C","Jason Isaacs",6086026,25
"418625","RNN","Martin Lawrence",10437037,25
"42068","C","Freddie Mercury",56680942,25
"4637590","C","Bob Dylan",33728144,25
"509997","C","Hayden Panettiere",25278763,25
"53736","RNN","Hayden Christensen",14722691,25
"5570621","NR","Akon",27806472,25
"6479315","C","Shakira",54558771,25
"64965","C","Sigourney Weaver",12439442,25
"66164","C","Ronaldo",38313289,25
"665823","NR","Randy Orton",23344519,25
"864","C","Andy Warhol",34354584,25
"1126578","NR","Ciara",12020440,26
"138483","C","Richard Harris",9113016,26
"148328","C","Ice Cube",19615977,26
"14995351","C","Michael Jackson",145250649,26
"16707","C","Kurt Cobain",46176455,26
"17130","RNN","Kelsey Grammer",8768861,26
"1824993","NR","Nikki Reed",12597933,26
"1996436","C","Russell Brand",21477421,26
"200750","C","Adrien Brody",10966582,26
"20647283","NR","Rachel Bilson",13360925,26
"24953","C","Pelé",24153197,26
"278119","C","Charlie Sheen",44461809,26
"345802","C","John Cena",48740783,26
"410484","C","Richard Hammond",9085505,26
"47643","C","Michel Foucault",14960062,26
"64372","NR","Jacqueline Kennedy Onassis",16793924,26
"757257","TT","Gerard Butler",25322767,26
"7819615","C","Luis Suárez",6937586,26
"8135890","C","Miley Cyrus",91947733,26
"8786","C","David Bowie",33416436,26
"142241","C","Gene Simmons",13267706,27
"148328","C","Ice Cube",19615977,27
"162617","C","Chuck Norris",39583094,27
"16603","C","Keanu Reeves",30400034,27
"20584","C","Morgan Freeman",28543488,27
"208200","RNN","Charles Bronson",13321949,27
"20913246","C","Scarlett Johansson",47029383,27
"2095536","NR","Jesse Spencer",6339458,27
"2095762","C","Channing Tatum",33586668,27
"2110323","C","Rihanna",89939558,27
"26683","C","Stanley Kubrick",20251814,27
"303225","C","Triple H",29927201,27
"40547","NR","Ian Curtis",7327927,27
"44849","C","Brad Pitt",55005621,27
"54985","C","Whoopi Goldberg",14541732,27
"599983","NR","Paul Scholes",6563060,27
"704723","C","Neil Patrick Harris",34215346,27
"71870","C","Johnny Depp",83016743,27
"8239846","C","Bob Marley",60597640,27
"9288","C","Elvis Presley",55896331,27
"144936","C","Jackie Chan",44209817,28
"15852","C","John Lennon",58141089,28
"1806","C","Arnold Schwarzenegger",54504491,28
"19831","C","Margaret Thatcher",37450537,28
"21026","NR","Meat Loaf",9993547,28
"23680998","C","Justin Bieber",113558067,28
"26091","NR","Rupert Murdoch",12578393,28
"27005455","C","Bruno Mars",38317635,28
"2844938","C","Mark Zuckerberg",62640549,28
"30528002","C","Ed Sheeran",13277238,28
"31341","C","Tupac Shakur",59789956,28
"32901","C","Woody Allen",27097646,28
"36753","NR","Magic Johnson",16987222,28
"38459","C","Natalie Portman",45549617,28
"39010","C","Robbie Williams",18156830,28
"399280","NR","Eric Roberts",8513039,28
"400738","C","Mila Kunis",56135643,28
"591104","NR","Robert Trujillo",6925784,28
"6844407","C","Selena Gomez",87742946,28
"685906","NR","Edwin van der Sar",6693819,28
"1031515","C","Eva Mendes",17930493,29
"12788962","NR","Yvonne Strzechowski",9834797,29
"154971","C","Rocky Marciano",7072537,29
"156126","C","The Rock",49588797,29
"20455","C","Michael Jordan",49879093,29
"22570683","C","Nicki Minaj",59132166,29
"23680998","C","Justin Bieber",113558067,29
"24041298","C","Robert Pattinson",50103232,29
"25832","C","Ringo Starr",19978182,29
"352699","NR","Shahrukh Khan",27226861,29
"3830432","RNN","Amy Adams",18820624,29
"419248","RNN","Tony Shalhoub",5043633,29
"4513237","RNN","Chris Pine",11891148,29
"53029","C","Muammar al-Gaddafi",29470548,29
"60070","C","Janet Jackson",16226474,29
"7412236","C","Steve Jobs",78372660,29
"8104201","C","Christoph Waltz",13726882,29
"8239846","C","Bob Marley",60597640,29
"899033","NR","Armin van Buuren",7236937,29
"9288","C","Elvis Presley",55896331,29
"1353497","NR","Shia LaBeouf",25697179,30
"158889","C","George Clooney",30655961,30
"1769827","NR","Megan Fox",59594557,30
"19084502","NR","Michael Phelps",24484817,30
"203421","NR","Amanda Bynes",23110004,30
"2110323","NR","Rihanna",89939558,30
"21131695","NR","Robert F. Kennedy",13391006,30
"25571585","NR","Kesha",28306872,30
"2844938","NR","Mark Zuckerberg",62640549,30
"301864","RNN","Larry King",6086861,30
"30519","NR","Tom Waits",11388434,30
"31341","C","Tupac Shakur",59789956,30
"3504698","NR","Vanessa Hudgens",34030925,30
"42357","NR","Elizabeth Taylor",30501275,30
"4429395","C","Eminem",108953700,30
"44463","NR","Sophia Loren",14288949,30
"483360","NR","Jared Leto",23232742,30
"534366","C","Barack Obama",112536577,30
"6064346","NR","Cory Monteith",17613744,30
"6844407","C","Selena Gomez",87742946,30
"13765","NR","Henry Kissinger",10487989,31
"144809","NR","Brandy Norwood",7385806,31
"14596669","NR","Kofi Kingston",5710358,31
"14995351","C","Michael Jackson",145250649,31
"159381","NR","Hans Zimmer",11363550,31
"16100029","C","Novak Djokovic",15210079,31
"170146","RNN","David Schwimmer",10422658,31
"17917","NR","Lars von Trier",8475478,31
"18995","C","Martin Scorsese",17289562,31
"23680998","NR","Justin Bieber",113558067,31
"276348","C","Monica Bellucci",20522771,31
